1,-423.0,1
2,-446.0,1
3,-395.0,1
4,-392.0,1
5,-374.0,1
6,-402.0,1
7,-370.0,1
8,-897.0,1
9,-400.0,1
10,-395.0,1
11,-437.0,1
12,-431.0,1
13,-370.0,1
14,-399.0,1
15,-485.0,1
16,-373.0,1
17,-470.0,1
18,-380.0,1
19,-449.0,1
20,-362.0,1
21,-406.0,1
22,-345.0,1
23,-350.0,1
24,-375.0,1
25,-304.0,1
26,-359.0,1
27,-308.0,1
28,-445.0,1
29,-374.0,1
30,-455.0,1
31,-340.0,1
32,-336.0,1
33,-333.0,1
34,-513.0,1
35,-376.0,1
36,-355.0,1
37,-318.0,1
38,-521.0,1
39,-500.0,1
40,-410.0,1
41,-415.0,1
42,-566.0,1
43,-434.0,1
44,-448.0,1
45,-380.0,1
46,-485.0,1
47,-403.0,1
48,-642.0,1
49,-514.0,1
50,-487.0,1
51,-525.0,1
52,-214.0,1
53,-497.0,1
54,-487.0,1
55,-81.0,1
56,-212.0,1
57,-505.0,1
58,-412.0,1
59,-328.0,1
60,-506.0,1
61,-361.0,1
62,-361.0,1
63,-442.0,1
64,-562.0,1
65,-393.0,1
66,-411.0,1
67,-527.0,1
68,-543.0,1
69,-353.0,1
70,-304.0,1
71,-387.0,1
72,-515.0,1
73,-426.0,1
74,-783.0,1
75,-471.0,1
76,-533.0,1
77,-505.0,1
78,-419.0,1
79,-282.0,1
80,-570.0,1
81,-518.0,1
82,-364.0,1
83,-553.0,1
84,-491.0,1
85,-260.0,1
86,-488.0,1
87,-386.0,1
88,-400.0,1
89,-495.0,1
90,-711.0,1
91,-532.0,1
92,-478.0,1
93,-471.0,1
94,-362.0,1
95,-553.0,1
96,-370.0,1
97,-371.0,1
98,-422.0,1
99,-433.0,1
100,-587.0,1
101,-508.0,2
102,-430.0,2
103,-485.0,2
104,-443.0,2
105,-498.0,2
106,-734.0,2
107,-491.0,2
108,-520.0,2
109,-426.0,2
110,-475.0,2
111,-425.0,2
112,-471.0,2
113,-467.0,2
